Name	Base_URL	Customer_ID	Requestor_ID	API_Key	Platform	Version	Delay	Retry	Support_Contact	Credentials_Expire	Customizations	Host_Types	Website	Notifications_URL	Usage_Data_Host	Usage_Data_Host_Contact	Usage_Data_Host_Website	Usage_Data_Host_URL
Academy of Management	https://journals.aom.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://support.aom.org/hc/en-us/requests/new	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://aom.org/	https://registry.countermetrics.org/api/v1/sushi-service/38641ece-a528-4296-b18f-64762e7adfe6/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
AdisInsight	https://counter.public.springernature.app/r51/	Can be found in the Springer Nature Librarian Portal https://librarian.springernature.com/organizations/counter-5-1	Required: Can be found in the Springer Nature Librarian Portal https://librarian.springernature.com/organizations/counter-5-1	Required: Can be found in the Springer Nature Librarian Portal https://librarian.springernature.com/organizations/counter-5-1		5.1	No volume limits	Queuing reports unknown	Person=Björn Johansson, Email=bjorn.johansson@springernature.com	Credentials do not auto expire	No customizations	Full_Content_Database	https://adisinsight.springer.com/	https://registry.countermetrics.org/api/v1/sushi-service/fa3d6dc9-96a8-4af9-b6da-8e8d76d1c433/notification/	Springer Nature	Person=Björn Johansson, Email=bjorn.johansson@springernature.com	https://www.springernature.com/	https://registry.countermetrics.org/api/v1/usage-data-host/3de8f6aa-adc6-4e9c-b524-be3cabcb818c/
AK Journals	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://akjournals.com/	https://registry.countermetrics.org/api/v1/sushi-service/7f44325b-70c9-44f8-bb3a-5b6020d5526f/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Allen Press	https://sitemaster.meridian.allenpress.com//sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=hello@allenpress.com, Form_url=https://www.allenpress.com/contact-us/	Credentials do not auto expire	No customizations	eBook; eJournal	https://meridian.allenpress.com	https://registry.countermetrics.org/api/v1/sushi-service/c55dd1ab-c8e8-4d10-b22f-8b8b895c5e2e/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
AMA Guides	https://sitemaster.ama-guides.ama-assn.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://compliance.ama-assn.org/hc/en-us/requests/new?ticket_form_id=4544498211479	Credentials do not auto expire	No customizations	eBook; eJournal	https://ama-guides.ama-assn.org	https://registry.countermetrics.org/api/v1/sushi-service/706f0bf1-c528-4bf9-b146-f5ad162602a5/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Academy of Neurology Journals	https://www.neurology.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://www.neurology.org/	https://registry.countermetrics.org/api/v1/sushi-service/ecb6b615-cc97-4f63-8aee-a2c31d8df17a/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Academy of Pediatrics	https://sitemaster.publications.aap.org/sushi	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.aap.org/en/forms/contact-support-center	Credentials do not auto expire	No customizations	eBook; eJournal	https://solutions.aap.org	https://registry.countermetrics.org/api/v1/sushi-service/a7f0d115-9441-46c1-996b-2745eba8635c/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Academy of Sleep Medicine	https://aasm.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://jcsm.aasm.org/info/about-jcsm	Credentials do not auto expire	No customizations	eJournal	https://jcsm.aasm.org/	https://registry.countermetrics.org/api/v1/sushi-service/b10c1b3a-851b-4d7e-9c1e-4bf84cecd8c0/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Accounting Association	https://sitemaster.publications.aaahq.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Person=Silverchair COUNTER, Email=counter@silverchair.com	Credentials do not auto expire	No customizations	eJournal	https://publications.aaahq.org/	https://registry.countermetrics.org/api/v1/sushi-service/5bc56038-b3ab-47e1-8283-4b3a18c11972/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Association for Cancer Research Journals	https://sitemaster.aacrjournals.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=pubs@aacr.org, Form_url=https://www.aacr.org/about-the-aacr/contact-us/	Credentials do not auto expire	No customizations	eJournal	https://aacrjournals.org/	https://registry.countermetrics.org/api/v1/sushi-service/c6b86101-2c8f-4994-8439-d653da447195/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
